epoch,train_loss,val_loss,lr,tf_prob,time_s
1,8.814011,6.420430,9.990232e-04,0.000000,23.23
2,6.143542,5.305046,9.960968e-04,0.000000,23.09
3,5.100187,5.104472,9.912322e-04,0.000000,23.54
4,4.475206,4.560294,9.844487e-04,0.000000,23.34
5,4.198428,4.124407,9.757730e-04,0.000000,23.44
6,4.036099,4.112295,9.652394e-04,0.000000,23.46
7,3.922307,3.924170,9.528894e-04,0.000000,23.34
8,3.843967,3.900969,9.387718e-04,0.000000,23.14
9,3.781336,3.864186,9.229423e-04,0.000000,22.86
10,3.774954,3.885399,9.054634e-04,0.000000,23.28
11,3.669715,3.804302,8.864041e-04,0.000000,23.35
12,3.662490,3.743092,8.658395e-04,0.000000,23.50
13,3.640566,3.757218,8.438508e-04,0.000000,23.16
14,3.632705,3.729142,8.205249e-04,0.000000,23.52
15,3.576320,3.635819,7.959537e-04,0.000000,23.13
16,3.592837,3.630364,7.702343e-04,0.000000,23.29
17,3.523630,3.631009,7.434681e-04,0.000000,23.23
18,3.496487,3.642006,7.157607e-04,0.000000,23.12
19,3.501757,3.597881,6.872217e-04,0.000000,24.27
20,3.500997,3.598944,6.579634e-04,0.000000,23.13
21,3.443336,3.607518,6.281015e-04,0.000000,23.51
22,3.454562,3.540610,5.977538e-04,0.000000,23.63
23,3.438547,3.551118,5.670400e-04,0.000000,22.82
24,3.424670,3.584068,5.360813e-04,0.000000,23.05
25,3.401529,3.537100,5.050000e-04,0.000000,23.08
26,3.378932,3.450446,4.739187e-04,0.000000,23.12
27,3.338575,3.467862,4.429600e-04,0.000000,23.18
28,3.346385,3.451539,4.122462e-04,0.000000,23.19
29,3.336616,3.480500,3.818985e-04,0.000000,23.41
30,3.310031,3.428706,3.520366e-04,0.000000,23.22
31,3.317638,3.423471,3.227783e-04,0.000000,23.30
32,3.326558,3.416793,2.942393e-04,0.000000,23.22
33,3.294193,3.407904,2.665319e-04,0.000000,23.44
34,3.273121,3.372104,2.397657e-04,0.000000,23.53
35,3.258194,3.421714,2.140463e-04,0.000000,23.23
36,3.263367,3.379876,1.894751e-04,0.000000,23.28
37,3.268483,3.363050,1.661492e-04,0.000000,22.93
38,3.241782,3.384620,1.441605e-04,0.000000,22.99
39,3.231128,3.361089,1.235959e-04,0.000000,23.24
40,3.242130,3.342667,1.045366e-04,0.000000,23.16
41,3.240500,3.334596,8.705768e-05,0.000000,23.23
42,3.219486,3.345712,7.122819e-05,0.000000,23.31
43,3.202118,3.325587,5.711061e-05,0.000000,23.32
44,3.217534,3.326754,4.476064e-05,0.000000,23.31
45,3.174607,3.330216,3.422702e-05,0.000000,23.41
46,3.165265,3.322711,2.555134e-05,0.000000,23.39
47,3.193497,3.319715,1.876781e-05,0.000000,23.39
48,3.186016,3.314598,1.390322e-05,0.000000,23.25
49,3.187566,3.324410,1.097677e-05,0.000000,23.47
50,3.183302,3.315861,1.000000e-05,0.000000,23.57
