epoch,train_loss,val_loss,lr,tf_prob,time_s
1,8.495598,5.971562,9.990232e-04,0.000000,23.27
2,5.783225,5.028188,9.960968e-04,0.000000,23.44
3,4.904921,4.714191,9.912322e-04,0.000000,23.64
4,4.410319,3.938931,9.844487e-04,0.000000,23.60
5,4.143046,3.794527,9.757730e-04,0.000000,22.92
6,4.033455,3.660869,9.652394e-04,0.000000,23.21
7,3.921080,3.678938,9.528894e-04,0.000000,23.35
8,3.884164,3.696308,9.387718e-04,0.000000,23.29
9,3.793215,3.545724,9.229423e-04,0.000000,23.38
10,3.781323,3.603090,9.054634e-04,0.000000,23.29
11,3.758163,3.522956,8.864041e-04,0.000000,23.22
12,3.715873,3.455956,8.658395e-04,0.000000,23.10
13,3.679827,3.466640,8.438508e-04,0.000000,23.30
14,3.657085,3.441245,8.205249e-04,0.000000,23.25
15,3.657909,3.409348,7.959537e-04,0.000000,23.19
16,3.595101,3.450111,7.702343e-04,0.000000,23.38
17,3.573292,3.391173,7.434681e-04,0.000000,23.35
18,3.569133,3.357404,7.157607e-04,0.000000,23.69
19,3.535312,3.348393,6.872217e-04,0.000000,22.92
20,3.515584,3.350315,6.579634e-04,0.000000,23.13
21,3.515491,3.373321,6.281015e-04,0.000000,23.31
22,3.492369,3.276500,5.977538e-04,0.000000,23.18
23,3.474734,3.264007,5.670400e-04,0.000000,23.38
24,3.463975,3.249517,5.360813e-04,0.000000,23.23
25,3.416338,3.259816,5.050000e-04,0.000000,23.44
26,3.431900,3.185225,4.739187e-04,0.000000,23.26
27,3.403022,3.220670,4.429600e-04,0.000000,23.33
28,3.385758,3.166269,4.122462e-04,0.000000,23.72
29,3.364194,3.225419,3.818985e-04,0.000000,23.50
30,3.384827,3.149852,3.520366e-04,0.000000,23.58
31,3.375423,3.155738,3.227783e-04,0.000000,23.36
32,3.338796,3.181643,2.942393e-04,0.000000,23.51
33,3.295484,3.170988,2.665319e-04,0.000000,22.85
34,3.295440,3.116771,2.397657e-04,0.000000,23.14
35,3.326612,3.132351,2.140463e-04,0.000000,23.21
36,3.303854,3.094070,1.894751e-04,0.000000,23.35
37,3.266971,3.107956,1.661492e-04,0.000000,23.25
38,3.260054,3.104300,1.441605e-04,0.000000,23.21
39,3.257733,3.086312,1.235959e-04,0.000000,23.21
40,3.237860,3.088423,1.045366e-04,0.000000,23.27
41,3.270124,3.084156,8.705768e-05,0.000000,23.25
42,3.230764,3.094621,7.122819e-05,0.000000,23.32
43,3.229415,3.087838,5.711061e-05,0.000000,23.37
44,3.222418,3.081840,4.476064e-05,0.000000,23.29
45,3.220656,3.069278,3.422702e-05,0.000000,23.34
46,3.210726,3.049453,2.555134e-05,0.000000,23.83
47,3.207620,3.048456,1.876781e-05,0.000000,22.96
48,3.191134,3.060047,1.390322e-05,0.000000,23.12
49,3.196938,3.061404,1.097677e-05,0.000000,23.15
50,3.194224,3.056567,1.000000e-05,0.000000,23.32
