epoch,train_loss,val_loss,lr,tf_prob,time_s
1,9.456218,7.200844,9.990232e-04,0.000000,23.55
2,6.273782,5.597656,9.960968e-04,0.000000,22.56
3,4.900745,4.674704,9.912322e-04,0.000000,23.48
4,4.371294,4.316740,9.844487e-04,0.000000,23.21
5,4.174821,4.134189,9.757730e-04,0.000000,23.51
6,4.050629,3.948645,9.652394e-04,0.000000,23.24
7,3.972185,3.998653,9.528894e-04,0.000000,23.31
8,3.898162,3.806192,9.387718e-04,0.000000,23.24
9,3.844948,3.804646,9.229423e-04,0.000000,23.30
10,3.841894,3.996866,9.054634e-04,0.000000,23.24
11,3.793861,3.761915,8.864041e-04,0.000000,22.70
12,3.741505,3.778321,8.658395e-04,0.000000,22.61
13,3.709735,3.831217,8.438508e-04,0.000000,23.05
14,3.679054,3.662744,8.205249e-04,0.000000,22.92
15,3.649422,3.580625,7.959537e-04,0.000000,23.12
16,3.636897,3.663615,7.702343e-04,0.000000,22.83
17,3.621763,3.480777,7.434681e-04,0.000000,22.79
18,3.577944,3.636452,7.157607e-04,0.000000,22.79
19,3.563312,3.517849,6.872217e-04,0.000000,23.09
20,3.526217,3.549974,6.579634e-04,0.000000,23.00
21,3.518647,3.546699,6.281015e-04,0.000000,23.02
22,3.478360,3.554259,5.977538e-04,0.000000,22.97
23,3.496812,3.436800,5.670400e-04,0.000000,23.34
24,3.457465,3.445568,5.360813e-04,0.000000,23.37
25,3.447683,3.485530,5.050000e-04,0.000000,22.98
26,3.434991,3.424224,4.739187e-04,0.000000,22.58
27,3.421482,3.421574,4.429600e-04,0.000000,22.78
28,3.400943,3.397081,4.122462e-04,0.000000,22.91
29,3.410764,3.402082,3.818985e-04,0.000000,22.90
30,3.344927,3.378510,3.520366e-04,0.000000,22.94
31,3.356117,3.325409,3.227783e-04,0.000000,22.93
32,3.324236,3.336082,2.942393e-04,0.000000,22.93
33,3.324663,3.392968,2.665319e-04,0.000000,23.09
34,3.330294,3.336668,2.397657e-04,0.000000,23.02
35,3.323486,3.325414,2.140463e-04,0.000000,22.96
36,3.309156,3.297225,1.894751e-04,0.000000,23.25
37,3.272429,3.290354,1.661492e-04,0.000000,23.21
38,3.280870,3.267766,1.441605e-04,0.000000,23.14
39,3.258755,3.277367,1.235959e-04,0.000000,22.84
40,3.267365,3.261115,1.045366e-04,0.000000,22.51
41,3.268123,3.283625,8.705768e-05,0.000000,22.63
42,3.233834,3.254649,7.122819e-05,0.000000,22.78
43,3.215135,3.250524,5.711061e-05,0.000000,22.88
44,3.228679,3.245746,4.476064e-05,0.000000,22.89
45,3.221267,3.242195,3.422702e-05,0.000000,22.89
46,3.237255,3.235215,2.555134e-05,0.000000,23.02
47,3.238224,3.239234,1.876781e-05,0.000000,23.16
48,3.205878,3.231176,1.390322e-05,0.000000,22.87
49,3.252576,3.227557,1.097677e-05,0.000000,23.02
50,3.208232,3.234759,1.000000e-05,0.000000,22.98
