epoch,train_loss,val_loss,lr,tf_prob,time_s
1,8.412301,6.484206,9.990232e-04,0.000000,23.34
2,5.561076,5.199527,9.960968e-04,0.000000,23.25
3,4.643191,4.337221,9.912322e-04,0.000000,23.26
4,4.326263,4.250535,9.844487e-04,0.000000,23.44
5,4.151844,4.302421,9.757730e-04,0.000000,23.66
6,4.014409,4.180373,9.652394e-04,0.000000,23.49
7,3.952062,3.937816,9.528894e-04,0.000000,23.47
8,3.922079,3.913904,9.387718e-04,0.000000,23.62
9,3.848124,3.870445,9.229423e-04,0.000000,23.59
10,3.809972,3.869644,9.054634e-04,0.000000,23.51
11,3.740623,3.845842,8.864041e-04,0.000000,23.64
12,3.748333,3.829501,8.658395e-04,0.000000,23.70
13,3.728159,3.730730,8.438508e-04,0.000000,23.47
14,3.656044,3.753838,8.205249e-04,0.000000,23.03
15,3.631594,3.791806,7.959537e-04,0.000000,23.26
16,3.606204,3.738775,7.702343e-04,0.000000,23.44
17,3.594867,3.742678,7.434681e-04,0.000000,23.53
18,3.573619,3.624004,7.157607e-04,0.000000,23.36
19,3.539962,3.574134,6.872217e-04,0.000000,23.51
20,3.511153,3.675762,6.579634e-04,0.000000,23.36
21,3.491641,3.635321,6.281015e-04,0.000000,23.55
22,3.500778,3.614659,5.977538e-04,0.000000,23.48
23,3.459007,3.612025,5.670400e-04,0.000000,23.34
24,3.437816,3.580819,5.360813e-04,0.000000,23.58
25,3.463462,3.556118,5.050000e-04,0.000000,23.50
26,3.396859,3.612777,4.739187e-04,0.000000,23.81
27,3.413523,3.572233,4.429600e-04,0.000000,23.88
28,3.395206,3.572262,4.122462e-04,0.000000,23.05
29,3.354636,3.514002,3.818985e-04,0.000000,23.34
30,3.335274,3.537908,3.520366e-04,0.000000,23.54
31,3.356869,3.499314,3.227783e-04,0.000000,23.29
32,3.337109,3.539021,2.942393e-04,0.000000,23.32
33,3.310717,3.474543,2.665319e-04,0.000000,23.54
34,3.319551,3.450941,2.397657e-04,0.000000,23.42
35,3.301110,3.505118,2.140463e-04,0.000000,23.50
36,3.311536,3.454221,1.894751e-04,0.000000,23.42
37,3.276991,3.446364,1.661492e-04,0.000000,23.39
38,3.256396,3.437793,1.441605e-04,0.000000,23.52
39,3.246488,3.427918,1.235959e-04,0.000000,23.41
40,3.252538,3.437299,1.045366e-04,0.000000,23.63
41,3.219487,3.427925,8.705768e-05,0.000000,23.62
42,3.222047,3.394216,7.122819e-05,0.000000,27.31
43,3.217004,3.400615,5.711061e-05,0.000000,23.60
44,3.232444,3.408339,4.476064e-05,0.000000,23.44
45,3.220224,3.399336,3.422702e-05,0.000000,23.42
46,3.179232,3.389391,2.555134e-05,0.000000,23.42
47,3.195901,3.394310,1.876781e-05,0.000000,23.48
48,3.168298,3.388339,1.390322e-05,0.000000,23.39
49,3.193136,3.382636,1.097677e-05,0.000000,23.66
50,3.204990,3.391419,1.000000e-05,0.000000,23.61
